,name,team,position,passing_cmp,passing_att,passing_yds,passing_tds,passing_ints,rushing_att,rushing_yds,rushing_tds,receiving_rec,receiving_yds,receiving_tds,fantasy_points_bro
1,David Johnson,Ari,RB,0,0,0,0,0,307.1,1229.7,11.7,77.8,783,4.1,370
2,Le'Veon Bell,Pit,RB,0,0,0,0,0,303.6,1398.6,9.9,81.3,669.4,3.8,369.4
3,LeSean McCoy,Buf,RB,0,0,0,0,0,240.8,1191.6,7.4,51.7,417.2,1.7,265.1
4,Devonta Freeman,Atl,RB,0,0,0,0,0,202.3,858.9,9.5,52.2,446.9,3.4,260
5,Melvin Gordon,LAC,RB,0,0,0,0,0,295.7,1196.6,6.9,42.6,341.3,1.9,247
6,Todd Gurley,LAR,RB,0,0,0,0,0,291.6,1126.8,8.4,44,334.4,1.3,246.8
7,Jay Ajayi,Mia,RB,0,0,0,0,0,295.3,1306.2,9,29,222.6,1.4,241.4
8,Jordan Howard,Chi,RB,0,0,0,0,0,273.4,1245.5,8,31.8,259.2,1.4,237
9,DeMarco Murray,Ten,RB,0,0,0,0,0,239.6,1049.7,7.7,43.5,310.1,1.8,234.6
10,Leonard Fournette,Jax,RB,0,0,0,0,0,277.5,1236.7,8.5,31,250.2,0.8,232.4
11,Lamar Miller,Hou,RB,0,0,0,0,0,256,1045.9,6.4,38.1,303.8,1.1,217.2
12,Marshawn Lynch,Oak,RB,0,0,0,0,0,222.3,966.4,8.7,34.7,285.4,1.4,215.1
13,Isaiah Crowell,Cle,RB,0,0,0,0,0,228.5,979.6,7.3,38,293,1,213
14,Christian McCaffrey,Car,RB,0,0,0,0,0,142.3,640.1,4,52.6,478,2.2,201.6
15,Ty Montgomery,GB,RB,0,0,0,0,0,159.4,714.1,4.2,48.4,392,2.8,199.4
16,Carlos Hyde,SF,RB,0,0,0,0,0,232.9,966.4,6.3,34.2,256.8,1.1,195.8
17,Dalvin Cook,Min,RB,0,0,0,0,0,207.2,899.9,6.5,34.2,284.5,1,194.5
18,Ezekiel Elliott,Dal,RB,0,0,0,0,0,195.8,920.9,7.3,27.8,243.2,1.2,193.2
19,Bilal Powell,NYJ,RB,0,0,0,0,0,154.7,698.6,3.5,53.7,396.9,1.3,191
20,Frank Gore,Ind,RB,0,0,0,0,0,230.1,934.1,6.1,28.9,230.2,1.4,189.8
21,Spencer Ware,KC,RB,0,0,0,0,0,198.2,874.4,7.8,27,233.9,1,187.8
22,Mark Ingram,NO,RB,0,0,0,0,0,165,649.7,6.5,41.3,310.4,2.1,187.4
23,Ameer Abdullah,Det,RB,0,0,0,0,0,203.2,862.6,4.7,35.5,291.3,1.7,183.3
24,Terrance West,Bal,RB,0,0,0,0,0,211.1,868.2,5.1,34,241.7,1.4,181.6
25,Danny Woodhead,Bal,RB,0,0,0,0,0,86.7,360.7,2.3,64.3,524.9,2.9,181.3
26,Theo Riddick,Det,RB,0,0,0,0,0,62.3,241.9,1.6,69.3,550.6,3.7,181
27,Joe Mixon,Cin,RB,0,0,0,0,0,194,817.4,7.3,28.1,223.6,0.9,178.3
28,Duke Johnson Jr.,Cle,RB,0,0,0,0,0,108.7,447.3,2.8,59.5,488.9,1.3,175.3
29,Adrian Peterson,NO,RB,0,0,0,0,0,156.9,699.6,6,31.6,240.9,1.5,166.5
30,Matt Forte,NYJ,RB,0,0,0,0,0,144.1,590.5,4,42.1,351.4,1.1,166.4
31,Mike Gillislee,NE,RB,0,0,0,0,0,192,914,7.8,13.3,110.2,0.5,165.6
32,C.J. Anderson,Den,RB,0,0,0,0,0,173.5,772.4,4.8,29.6,235.7,0.8,164.1
33,Tevin Coleman,Atl,RB,0,0,0,0,0,124.5,535.4,5.1,32.9,312.7,2.3,161.5
34,Giovani Bernard,Cin,RB,0,0,0,0,0,125,517,3.6,43.9,362.9,1.2,159.7
35,Paul Perkins,NYG,RB,0,0,0,0,0,214.9,836.1,3.7,26.2,227.4,0.9,158.5
36,Darren Sproles,Phi,RB,0,0,0,0,0,89,391.5,2.8,49.6,388.9,1.1,154.8
37,Robert Kelley,Wsh,RB,0,0,0,0,0,209.7,866,6.7,15,118.9,0.5,153.9
38,Eddie Lacy,Sea,RB,0,0,0,0,0,195.8,862.5,5.9,15,124.8,0.7,153.3
39,Chris Thompson,Wsh,RB,0,0,0,0,0,67.1,303.2,2.1,51.7,418.1,1.8,145.1
40,James White,NE,RB,0,0,0,0,0,34.1,134.7,1.4,52.6,462.4,3,138.5
