name,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_tds,defense_ast,defense_safe,defense_pa,defense_lost_yds,fp_projection

Denver Broncos,,39.4,15.4,12.1,20.1,4.0,0.0,0.9,299.9,4951.5,120.2
Arizona Cardinals,,39.8,15.0,12.2,19.8,3.8,0.0,0.5,321.4,4908.7,118.1
Seattle Seahawks,,41.1,14.6,11.3,17.1,3.5,0.0,0.9,289.9,4975.3,115.6
Kansas City Chiefs,,33.3,16.8,12.3,19.9,3.9,0.0,0.2,313.9,5557.1,115.0
Minnesota Vikings,,40.9,14.8,10.7,18.6,3.6,0.0,0.5,334.1,5522.9,114.7
Carolina Panthers,,40.5,15.4,11.3,18.5,3.1,0.0,0.9,357.7,5501.3,114.3
Houston Texans,,39.9,14.9,10.6,16.6,3.8,0.0,0.3,305.3,4943.4,113.9
Philadelphia Eagles,,34.2,14.9,11.6,20.1,3.6,0.0,0.9,346.0,5547.2,110.8
New England Patriots,,37.7,14.9,10.9,17.6,3.3,0.0,0.9,295.3,5220.4,110.6
Tampa Bay Buccaneers,,37.6,14.5,11.1,18.8,3.3,0.0,0.5,374.6,5802.0,109.6
New York Giants,,35.0,15.8,10.8,18.9,3.2,0.0,0.6,326.8,5440.3,108.7
Los Angeles Chargers,,36.3,14.4,11.3,18.4,3.2,0.0,0.6,385.1,5459.2,108.0
Jacksonville Jaguars,,36.9,14.4,9.9,16.5,3.6,0.0,0.5,375.3,5346.1,108.0
Pittsburgh Steelers,,37.8,14.7,11.3,19.0,2.9,0.0,0.2,326.5,5424.5,107.5
Miami Dolphins,,34.2,15.3,9.8,16.3,3.2,0.0,0.9,376.3,5945.4,105.3
Baltimore Ravens,,34.8,14.8,11.0,17.5,3.1,0.0,0.2,319.5,5171.6,105.3
Green Bay Packers,,36.9,15.5,8.7,15.4,2.9,0.0,0.9,360.9,5703.5,104.8
Tennessee Titans,,38.6,13.4,9.0,16.3,3.2,0.0,0.5,360.9,5471.0,104.0
Los Angeles Rams,,36.7,13.6,11.1,18.2,2.7,0.0,0.5,355.3,5396.3,103.8
Cincinnati Bengals,,35.5,15.8,9.2,14.4,2.7,0.0,0.2,327.3,5586.2,102.5
Oakland Raiders,,30.9,14.6,11.5,20.4,2.9,0.0,0.5,375.7,5861.0,102.0
Washington Redskins,,35.9,13.0,11.0,18.6,2.8,0.0,0.5,378.5,5982.1,101.4
Buffalo Bills,,36.5,14.0,8.8,15.2,3.0,0.0,0.2,383.1,5983.8,100.6
Dallas Cowboys,,33.7,13.0,11.1,18.8,2.9,0.0,0.5,343.8,5539.7,100.2
Atlanta Falcons,,33.2,13.0,10.1,17.4,3.2,0.0,0.5,376.7,5868.5,99.6
Indianapolis Colts,,31.7,13.4,9.5,17.9,3.2,0.0,0.2,378.6,5901.4,96.8
San Francisco 49ers,,32.1,12.7,9.5,17.0,2.6,0.0,0.2,414.4,6078.5,92.7
Chicago Bears,,36.5,11.4,8.1,13.6,2.4,0.0,0.2,396.6,5713.9,90.4
Detroit Lions,,32.0,11.9,8.4,15.3,2.4,0.0,1.5,384.0,5939.7,90.2
New Orleans Saints,,30.8,11.1,10.8,18.7,2.3,0.0,0.2,432.2,6190.9,88.8
New York Jets,,31.5,10.6,8.9,16.1,2.6,0.0,0.2,388.7,5625.1,86.9
Cleveland Browns,,31.0,12.6,7.8,13.9,2.3,0.0,0.2,404.4,6017.1,86.1
