player,team,fgm,fga,xpm,fp_projection
Zane Gonzalez,SF,29.8,35.8,41.0,130.5
Greg Joseph,MIN,28.2,33.7,40.1,124.9
Justin Tucker,BAL,27.8,31.7,40.9,124.3
Jason Myers,SEA,28.5,33.1,38.9,124.3
Harrison Butker,KC,24.9,29.3,49.5,124.1
Evan McPherson,CIN,26.6,31.7,43.2,123.1
Tyler Bass,BUF,26.5,32.0,43.5,123.0
Daniel Carlson,LV,29.0,33.7,35.5,122.5
Jake Elliott,PHI,25.5,29.2,44.6,121.3
Younghoe Koo,ATL,28.8,33.6,34.5,120.9
Graham Gano,NYG,28.8,33.0,32.7,119.0
Riley Patterson,DET,26.0,31.4,40.9,118.9
Brandon McManus,JAC,28.1,34.0,34.3,118.5
Cameron Dicker,LAC,26.5,32.1,38.7,118.2
Jason Sanders,MIA,27.4,33.2,35.1,117.4
Jake Moody,SF,25.5,31.2,40.1,116.5
Cairo Santos,CHI,26.8,31.4,35.6,116.1
Chase McLaughlin,TB,26.4,30.9,36.2,115.4
Nick Folk,NE,26.9,30.6,34.3,115.0
Eddy Pineiro,CAR,27.6,31.7,31.6,114.4
Wil Lutz,NO,25.4,31.0,38.1,114.4
Chris Boswell,PIT,26.9,32.6,33.2,113.9
Greg Zuerlein,NYJ,27.2,35.0,32.2,113.7
Brett Maher,DEN,27.0,31.7,32.4,113.3
Cade York,CLE,25.0,31.7,38.2,113.3
Dustin Hopkins,LAC,25.7,31.5,36.1,113.1
Matt Gay,IND,26.8,31.4,32.5,112.9
Brandon Aubrey,DAL,24.1,29.4,39.6,111.8
Matt Prater,ARI,25.7,30.8,34.0,111.1
Anders Carlson,GB,24.0,29.2,38.8,110.9
Ka'imi Fairbairn,HOU,26.7,31.2,29.8,110.0
Joey Slye,WAS,25.3,30.4,31.5,107.3
Chad Ryland,NE,24.9,29.9,32.6,107.2
Rodrigo Blankenship,TB,23.9,28.3,34.7,106.4
Tanner Brown,LAR,23.9,28.9,33.6,105.4
Caleb Shudak,TEN,20.2,24.2,22.2,82.8
